Ticker,Company_Name,Industry,Market_Cap_B,Employees,Total_Revenue_B,Research_And_Development_B,Net_Income_B,Total_Debt_B,Free_Cash_Flow_B,R&D_to_Revenue_Pct,Gross_Margin_Pct,Operating_Margin_Pct,Profit_Margin_Pct,Trailing_PE,Forward_PE,Price_to_Book,Beta_Volatility,Institutional_Ownership_Pct,Short_Float_Pct,Dividend_Yield_Pct,52_Week_Change_Pct
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,55.66,0.0,2.21,0.32,1.79,0.01,0.64,14.48,55.18,26.88,81.0,89.28,44.21,14.96,1.46,102.38,5.05,70.0,97.39
TER,"Teradyne, Inc.",Semiconductor Equipment & Materials,50.1,6600.0,3.19,0.5,0.55,0.28,0.45,15.67,58.22,30.35,17.24,92.49,39.86,17.87,1.82,98.38,3.41,16.0,202.54
BIDU,"Baidu, Inc.",Internet Content & Information,43.38,35900.0,133.12,22.13,23.76,79.32,12.98,16.62,44.75,3.52,17.85,10.97,12.51,1.1,0.29,20.27,2.59,0.0,47.58
PYPL,"PayPal Holdings, Inc.",Credit Services,43.24,23800.0,33.17,3.1,5.23,9.99,5.56,9.35,41.48,17.48,15.77,8.54,7.95,2.1,1.42,82.17,5.63,121.0,-33.75
MCHP,Microchip Technology Incorporat,Semiconductors,40.39,19400.0,4.4,0.98,-0.0,5.67,0.77,22.27,55.41,13.2,-0.0,32.66,28.11,6.16,1.44,99.72,5.63,244.0,28.8
DDOG,"Datadog, Inc.",Software - Application,39.47,8100.0,3.43,1.55,0.11,1.28,0.91,45.19,79.98,1.0,3.21,361.16,42.34,10.58,1.29,90.39,2.78,0.0,-1.07
JD,"JD.com, Inc.",Internet Retail,39.14,41169.0,1158.82,17.03,41.36,89.77,44.28,1.47,9.52,-0.41,3.57,8.56,8.7,1.1,0.41,13.22,1.8,377.0,-34.07
ROP,"Roper Technologies, Inc.",Software - Application,37.64,19400.0,7.9,0.0,1.54,9.35,2.44,0.0,69.24,28.58,19.49,24.63,14.99,1.88,0.93,101.59,2.8,104.0,-40.3
WDAY,"Workday, Inc.",Software - Application,35.71,0.0,8.45,2.63,0.53,3.36,2.19,31.12,75.7,12.01,6.27,56.44,10.71,4.48,1.12,96.49,6.13,0.0,-47.46
FICO,Fair Isaac Corporation,Software - Application,33.43,3762.0,1.99,0.19,0.65,3.07,0.74,9.55,82.86,45.72,32.66,52.08,26.42,-18.52,1.27,91.22,6.73,0.0,-24.43
CTSH,Cognizant Technology Solutions ,Information Technology Services,31.1,351600.0,21.11,0.0,2.23,1.15,2.6,0.0,33.72,16.0,10.56,14.13,10.47,2.06,0.96,104.66,8.15,205.0,-22.85
STM,STMicroelectronics N.V.,Semiconductors,30.35,48000.0,0.0,0.0,0.0,3.17,-0.22,0.0,33.89,7.81,0.0,186.72,17.61,1.68,1.32,10.45,1.86,107.0,38.71
HPE,Hewlett Packard Enterprise Comp,Communication Equipment,28.65,67000.0,34.3,2.52,0.06,24.08,0.63,7.35,30.26,3.41,0.17,32.66,7.86,1.15,1.32,94.16,7.68,265.0,12.82
ON,ON Semiconductor Corporation,Semiconductors,26.75,32169.0,6.0,0.58,0.12,3.0,1.42,9.67,38.32,19.14,2.0,229.24,16.53,3.44,1.54,110.02,14.71,0.0,48.03
MDB,"MongoDB, Inc.",Software - Infrastructure,26.73,5639.0,2.01,0.6,-0.13,0.04,0.12,29.85,71.62,-2.93,-6.47,32.66,57.61,9.25,1.38,91.95,4.73,0.0,26.81
FIS,Fidelity National Information S,Information Technology Services,26.62,44000.0,10.13,0.0,1.45,11.54,1.36,0.0,36.86,24.64,14.31,159.25,7.43,1.88,0.9,99.01,2.79,322.0,-29.42
ZS,"Zscaler, Inc.",Software - Infrastructure,23.44,7923.0,2.67,0.67,-0.04,1.8,0.73,25.09,76.63,-6.35,-1.5,32.66,31.99,10.75,1.22,57.98,6.9,0.0,-22.14
ZM,"Zoom Communications, Inc.",Software - Application,22.13,32158.0,4.67,0.85,1.01,0.06,1.81,18.2,77.02,20.04,21.63,14.39,12.1,2.23,0.9,78.89,2.31,0.0,-0.5
GPN,Global Payments Inc.,Specialty Business Services,21.41,26000.0,7.71,0.0,1.4,21.87,2.04,0.0,72.64,27.88,18.16,17.26,4.71,0.79,0.75,100.09,4.51,131.0,-25.8
VRSN,"VeriSign, Inc.",Software - Infrastructure,21.13,926.0,1.66,0.1,0.83,1.8,1.07,6.02,88.15,66.96,50.0,25.84,22.39,-9.72,0.75,90.69,2.65,142.0,-5.09
CYBR,CyberArk Software Ltd.,Software - Infrastructure,20.64,0.0,0.0,0.0,0.0,0.01,0.22,0.0,76.45,-6.58,0.0,32.66,63.29,8.61,0.93,88.2,3.74,0.0,-0.22
TEAM,Atlassian Corporation,Software - Application,19.82,13813.0,5.22,2.67,-0.26,1.24,1.42,51.15,84.06,-3.01,-4.98,32.66,13.63,12.54,0.88,94.64,5.89,0.0,-72.6
NTAP,"NetApp, Inc.",Software - Infrastructure,19.77,11700.0,6.57,1.01,1.19,3.49,1.34,15.37,70.46,25.16,18.11,17.25,11.59,16.93,1.22,101.77,10.73,210.0,3.45
PTC,PTC Inc.,Software - Application,18.63,7000.0,2.74,0.46,0.73,1.37,0.86,16.79,84.23,33.8,26.64,23.03,17.98,4.85,1.03,101.58,5.03,0.0,-2.47
CHKP,Check Point Software Technologi,Software - Infrastructure,16.33,0.0,0.0,0.0,0.0,1.97,1.03,0.0,87.92,31.27,0.0,15.79,13.19,5.63,0.6,77.44,6.69,0.0,-31.22
CDW,CDW Corporation,Information Technology Services,16.07,14800.0,0.0,0.0,0.0,5.99,1.15,0.0,21.73,7.31,0.0,15.18,10.89,6.09,1.05,97.8,4.4,205.0,-28.9
AFRM,"Affirm Holdings, Inc.",Credit Services,15.65,2206.0,3.22,0.0,0.05,7.85,0.6,0.0,47.78,10.47,1.55,58.0,12.39,4.4,3.58,85.12,6.18,0.0,-24.05
TYL,"Tyler Technologies, Inc.",Software - Application,15.34,7800.0,2.14,0.12,0.26,0.64,0.57,5.61,46.46,13.16,12.15,49.26,25.0,4.13,0.9,101.2,4.69,0.0,-41.51
ROKU,"Roku, Inc.",Entertainment,14.51,3600.0,4.74,0.73,0.09,0.52,0.48,15.4,43.79,4.54,1.9,166.8,31.41,5.47,1.99,86.72,7.44,0.0,22.61
HUBS,"HubSpot, Inc.",Software - Application,13.95,8882.0,3.13,0.91,0.05,0.26,0.58,29.07,83.76,5.69,1.6,304.03,17.42,6.73,1.39,91.31,6.34,0.0,-62.62
OKTA,"Okta, Inc.",Software - Infrastructure,12.85,5914.0,2.61,0.64,0.03,0.95,0.73,24.52,77.08,3.1,1.15,65.91,19.73,1.86,0.77,91.87,4.88,0.0,-16.82
OKTA,"Okta, Inc.",Software - Infrastructure,12.85,5914.0,2.61,0.64,0.03,0.95,0.73,24.52,77.08,3.1,1.15,65.91,19.73,1.86,0.77,91.87,4.88,0.0,-16.82
JKHY,"Jack Henry & Associates, Inc.",Information Technology Services,11.76,7200.0,2.38,0.16,0.46,0.0,0.41,6.72,43.84,25.7,19.33,23.31,23.33,5.32,0.71,104.63,5.29,145.0,-8.73
PINS,"Pinterest, Inc.",Internet Content & Information,11.57,5265.0,4.22,1.43,0.42,0.26,1.25,33.89,80.07,22.83,9.95,28.08,8.81,2.4,0.89,98.93,5.84,0.0,-51.84
CHWY,"Chewy, Inc.",Internet Retail,11.38,32214.0,11.86,0.0,0.39,0.5,0.45,0.0,29.56,2.09,3.29,55.96,17.61,24.22,1.6,170.67,7.79,0.0,-23.62
IT,"Gartner, Inc.",Information Technology Services,11.33,20244.0,6.5,0.0,0.73,3.35,1.18,0.0,68.39,18.98,11.23,16.29,10.83,34.82,1.04,106.38,11.17,0.0,-67.99
BSY,"Bentley Systems, Incorporated",Software - Application,11.1,0.0,1.35,0.28,0.23,1.43,0.42,20.74,81.52,20.05,17.04,44.57,23.25,9.66,1.22,49.66,8.59,77.0,-14.66
CFLT,"Confluent, Inc.",Software - Infrastructure,10.97,3241.0,1.17,0.48,-0.3,1.11,0.04,41.03,74.29,-27.53,-25.64,32.66,46.22,9.34,0.95,90.55,9.89,0.0,3.02
DT,"Dynatrace, Inc.",Software - Application,10.83,5200.0,1.7,0.38,0.48,0.08,0.43,22.35,81.75,14.11,28.24,59.87,18.78,3.91,0.81,101.65,3.77,0.0,-35.56
Z,"Zillow Group, Inc.",Internet Content & Information,10.81,7068.0,2.58,0.61,0.02,0.46,0.1,23.64,74.14,-1.68,0.78,495.78,15.04,2.2,2.02,97.41,0.0,0.0,-39.93
W,Wayfair Inc.,Internet Retail,9.98,11800.0,12.46,0.0,-0.31,4.3,0.33,0.0,30.22,2.07,-2.49,32.66,20.92,-3.58,3.37,114.8,25.01,0.0,108.44
DOCU,"DocuSign, Inc.",Software - Application,9.03,6838.0,2.98,0.59,1.07,0.12,0.92,19.8,79.5,10.43,35.91,31.52,10.95,4.56,1.01,86.48,9.19,0.0,-44.83
SWKS,"Skyworks Solutions, Inc.",Semiconductors,8.96,10000.0,4.09,0.79,0.48,1.2,1.08,19.32,41.13,14.71,11.74,22.83,11.92,1.55,1.32,107.6,18.02,477.0,-9.11
SNAP,Snap Inc.,Internet Content & Information,8.8,5261.0,5.93,1.79,-0.46,4.14,0.44,30.19,54.99,2.9,-7.76,32.66,8.68,3.91,0.8,53.99,8.37,0.0,-46.67
EPAM,"EPAM Systems, Inc.",Information Technology Services,7.85,62850.0,4.73,0.0,0.45,0.16,0.53,0.0,28.87,11.88,9.51,21.49,10.11,2.08,1.72,105.22,8.32,0.0,-29.01
QRVO,"Qorvo, Inc.",Semiconductors,7.69,6200.0,3.72,0.75,0.06,1.55,0.48,20.16,44.68,19.8,1.61,22.84,12.29,2.08,1.37,92.53,9.3,0.0,19.07
MTCH,"Match Group, Inc.",Internet Content & Information,7.6,0.0,3.48,0.44,0.55,3.85,0.88,12.64,72.8,33.41,15.8,13.28,7.84,-28.99,1.32,108.46,6.46,244.0,4.67
ESTC,Elastic N.V.,Software - Application,5.53,3537.0,1.48,0.37,-0.11,0.6,0.26,25.0,76.07,0.23,-7.43,32.66,18.02,6.86,0.95,88.57,4.81,0.0,-51.4
ETSY,"Etsy, Inc.",Internet Retail,5.44,2375.0,2.81,0.44,0.3,2.39,0.71,15.66,71.64,14.68,10.68,37.08,8.8,-4.85,1.76,120.95,21.23,0.0,11.89
BILL,"BILL Holdings, Inc.",Software - Application,4.46,2364.0,1.46,0.34,0.02,1.77,0.31,23.29,83.56,-4.26,1.37,32.66,16.55,1.17,1.26,111.94,15.95,0.0,-13.69
S,"SentinelOne, Inc.",Software - Infrastructure,4.46,2900.0,0.82,0.27,-0.29,0.0,0.01,32.93,74.69,-26.4,-35.37,32.66,43.76,2.88,0.77,82.06,7.36,0.0,-34.86
TENB,"Tenable Holdings, Inc.",Software - Infrastructure,2.29,0.0,0.0,0.0,0.0,0.42,0.21,0.0,78.09,4.76,0.0,32.66,9.24,6.98,0.65,98.23,6.63,0.0,-48.92
PTON,"Peloton Interactive, Inc.",Leisure,1.71,2605.0,2.49,0.23,-0.12,1.98,0.32,9.24,51.73,1.72,-4.82,32.66,33.5,-5.23,2.44,91.26,16.53,0.0,-42.82
